X,CH1,CH2,
Second,Volt,Volt,
1.1700000e-01,-4.00000e-04,-2.60000e-03,
1.1700100e-01,1.00000e-03,-3.40000e-03,
1.1700200e-01,2.40000e-03,-4.20000e-03,
1.1700300e-01,3.80000e-03,-5.00000e-03,
1.1700400e-01,5.20000e-03,-5.80000e-03,
1.1700500e-01,4.40000e-03,-4.40000e-03,
1.1700600e-01,3.40000e-03,-3.20000e-03,
1.1700700e-01,2.60000e-03,-1.80000e-03,
1.1700800e-01,1.60000e-03,-6.00000e-04,
1.1700900e-01,8.00000e-04,6.00000e-04,
1.1701000e-01,-2.00000e-04,2.00000e-03,
1.1701100e-01,-1.00000e-03,3.20000e-03,
1.1701200e-01,-2.00000e-03,4.40000e-03,
1.1701300e-01,-2.80000e-03,5.80000e-03,
1.1701400e-01,-3.80000e-03,7.00000e-03,
1.1701500e-01,-4.80000e-03,8.20000e-03,
1.1701600e-01,-4.20000e-03,6.80000e-03,
1.1701700e-01,-3.60000e-03,5.20000e-03,
1.1701800e-01,-3.20000e-03,3.80000e-03,
1.1701900e-01,-2.60000e-03,2.20000e-03,
1.1702000e-01,-2.20000e-03,8.00000e-04,
1.1702100e-01,-1.60000e-03,-8.00000e-04,
1.1702200e-01,-1.20000e-03,-2.20000e-03,
1.1702300e-01,-6.00000e-04,-3.80000e-03,
1.1702400e-01,-2.00000e-04,-5.20000e-03,
1.1702500e-01,4.00000e-04,-6.80000e-03,
1.1702600e-01,8.00000e-04,-8.40000e-03,
1.1702700e-01,1.20000e-03,-7.20000e-03,
1.1702800e-01,1.60000e-03,-6.00000e-03,
1.1702900e-01,1.80000e-03,-4.80000e-03,
1.1703000e-01,2.20000e-03,-3.80000e-03,
1.1703100e-01,2.40000e-03,-2.60000e-03,
1.1703200e-01,2.80000e-03,-1.40000e-03,
1.1703300e-01,3.20000e-03,-2.00000e-04,
1.1703400e-01,3.40000e-03,8.00000e-04,
1.1703500e-01,3.80000e-03,2.00000e-03,
1.1703600e-01,4.00000e-03,3.20000e-03,
1.1703700e-01,4.40000e-03,4.40000e-03,
1.1703800e-01,4.60000e-03,5.40000e-03,
1.1703900e-01,4.00000e-03,4.60000e-03,
1.1704000e-01,3.40000e-03,3.80000e-03,
1.1704100e-01,2.60000e-03,2.80000e-03,
1.1704200e-01,2.00000e-03,2.00000e-03,
1.1704300e-01,1.20000e-03,1.00000e-03,
1.1704400e-01,6.00000e-04,2.00000e-04,
